X70.000 Y98.000
X68.910 Y120.080
X67.730 Y142.300
X80.730 Y153.330
X81.900 Y131.030
X83.100 Y108.740
X96.170 Y97.160
X94.770 Y119.620
X93.800 Y142.020
X106.720 Y152.950
X108.060 Y130.440
X109.230 Y107.870
X122.460 Y95.920
X121.190 Y118.760
X119.910 Y141.450
X133.060 Y152.340
X134.180 Y129.460
X135.400 Y106.820
X148.600 Y94.740
X147.430 Y117.770
X145.930 Y140.680
X159.170 Y151.880
X160.290 Y128.690
X161.600 Y105.770
X174.860 Y93.570
X173.510 Y116.560
X172.380 Y139.680
X185.300 Y150.720
X186.530 Y127.640
X187.830 Y104.470
X200.890 Y92.070
X199.660 Y115.470
X198.260 Y138.690
X211.820 Y149.770
X212.530 Y126.330
X213.910 Y103.100
X227.080 Y90.470
X225.770 Y114.170
X224.450 Y137.630
X237.670 Y148.830
X238.800 Y125.250
X240.170 Y101.590
X253.350 Y89.040
X251.990 Y112.610
X250.860 Y136.420
X263.770 Y148.070
X264.980 Y123.960
X266.390 Y100.190
X279.520 Y87.570
X278.120 Y111.530
X277.010 Y135.330
X289.920 Y146.760
X291.220 Y122.860
X292.420 Y98.850
X305.660 Y86.010
X304.460 Y110.010
X303.140 Y134.330
X316.240 Y145.530
X317.420 Y121.310
X318.660 Y97.310
X331.920 Y84.120
X330.570 Y108.350
X329.440 Y132.650
X342.360 Y144.030
X343.600 Y119.660
X344.890 Y95.550
X358.000 Y82.380
X356.750 Y106.660
X355.540 Y130.920
X368.600 Y142.320
X369.800 Y117.960
X371.010 Y93.460
X384.330 Y80.240
X382.950 Y104.590
X381.770 Y129.050
X394.720 Y140.320
X396.110 Y115.740
X397.190 Y91.520
X410.400 Y77.930
X409.130 Y102.730
X407.850 Y127.150
X420.840 Y138.080
X422.170 Y113.740
X423.300 Y89.150
X436.460 Y75.590
X435.260 Y100.200
X434.140 Y124.660
X447.090 Y135.650
X448.280 Y111.330
X449.470 Y86.800
X462.630 Y73.170
X461.560 Y97.550
X460.210 Y122.080
X473.110 Y132.730
X474.510 Y108.420
X475.310 Y84.010
X511.220 Y67.920
X511.200 Y92.140
X511.230 Y116.410
X523.720 Y127.030
X523.430 Y102.860
X523.070 Y78.670
X533.920 Y65.450
X534.500 Y89.500
X534.900 Y113.690
X547.780 Y124.020
X546.860 Y99.860
X545.940 Y75.820
X556.600 Y62.430
X557.630 Y86.330
X558.980 Y110.310
X571.930 Y120.410
X570.460 Y96.600
X568.940 Y72.840
X579.020 Y59.300
X580.610 Y83.010
X582.450 Y106.740
X595.770 Y116.380
X593.430 Y92.740
X591.600 Y69.300
X601.050 Y56.000
X603.350 Y79.260
X605.770 Y102.470
X619.160 Y111.860
X616.490 Y88.700
X613.810 Y65.790
X622.910 Y52.750
X625.970 Y75.180
X628.860 Y97.699
X642.360 Y106.339
X639.230 Y84.110
X635.780 Y61.860
X644.429 Y49.111
X647.899 Y70.731
X651.230 Y92.870
X665.070 Y100.760
X661.160 Y79.270
X657.600 Y57.880
X666.010 Y45.220
X670.030 Y66.210
X673.760 Y87.230
X687.330 Y94.470
X683.200 Y73.900
X679.310 Y53.640
X687.250 Y41.470
X691.430 Y61.330
X695.700 Y81.370
X708.830 Y86.970
X704.400 Y67.450
X700.070 Y48.060
X707.810 Y36.590
X712.400 Y55.290
X716.840 Y74.130
X730.220 Y79.940
X725.620 Y61.580
X720.980 Y43.520
X728.450 Y32.380
X733.230 Y50.090
X737.920 Y67.490
X750.770 Y72.540
X746.170 Y55.500
X741.550 Y38.430
X748.670 Y28.000
X753.540 Y44.370
X758.300 Y60.730
X771.150 Y64.910
X766.410 Y49.090
X761.740 Y33.730
X774.520 Y38.280
X778.130 Y53.460
X790.880 Y57.410
X786.660 Y41.300
X793.490 Y30.940
X798.080 Y46.850
X1015.050 Y47.640
X1029.760 Y47.680
X1026.890 Y28.640
X1041.550 Y28.300
X1044.460 Y47.410
X1058.670 Y47.270
X1056.080 Y28.350
X1070.700 Y28.470
X1073.470 Y47.240
X1088.000 Y47.240
X1085.470 Y28.200
X1099.880 Y28.270
X1102.720 Y47.140
X1117.160 Y47.210
X1114.450 Y28.170
X1129.170 Y28.240
X1132.000 Y47.220
X1146.550 Y47.140
X1143.640 Y28.240
X1158.300 Y28.200
X1161.130 Y47.120
X1175.630 Y47.080
X1172.880 Y28.210
X1187.400 Y28.020
X1190.220 Y47.240
X1204.820 Y46.950
X1202.070 Y28.330
X1216.870 Y28.110
X1219.460 Y47.160
X1233.830 Y47.070
X1231.400 Y28.180
X1245.930 Y28.120
X1249.930 Y46.910
X1276.000 Y47.030
X1270.480 Y28.080
X1295.630 Y28.120
X1302.300 Y46.950
X1328.500 Y46.740
X1320.780 Y27.840
X1345.940 Y27.910
X1354.490 Y46.730
X1380.360 Y46.790
X1371.020 Y27.610
X1396.150 Y27.790
X1406.710 Y46.720
