(0.7488  ,  0.0109)
(0.6641  ,  0.0786)
(0.5060  ,  0.1464)
(0.3706  ,  0.2085)
(0.2915  ,  0.2536)
(0.1899  ,  0.2819)
(0.0940  ,  0.3327)
(-0.0302 ,  0.3609)
(-0.0923 ,  0.4004)
(-0.2165 ,  0.4004)
(-0.3069 ,  0.3891)
(-0.3746 ,  0.3101)
(-0.4141 ,  0.2198)
(-0.4423 ,  0.1351)
(-0.4536 ,  0.0278)
(-0.4706 , -0.0907)
(-0.4593 , -0.1923)
(-0.4141 , -0.2657)
(-0.3633 , -0.3448)
(-0.2335 , -0.4069)
(-0.1093 , -0.4407)
(0.0375  , -0.4407)
(0.1617  , -0.4577)
(0.2802  , -0.4238)
(0.4157  , -0.4012)
(0.5569  , -0.3730)
(0.6585  , -0.3109)
(0.6980  , -0.2375)
(0.7431  , -0.0060)
(0.7488  ,  0.0109)
